text,href
汉冲帝,/wiki/%E6%B1%89%E5%86%B2%E5%B8%9D
唐闵帝,/wiki/%E5%94%90%E9%96%94%E5%B8%9D
宇文化及,/wiki/%E5%AE%87%E6%96%87%E5%8C%96%E5%8F%8A
侯景,/wiki/%E4%BE%AF%E6%99%AF
东汉后少帝,/wiki/%E5%8A%89%E8%BE%AF
光熹,/wiki/%E5%85%89%E7%86%B9
昭宁,/wiki/%E6%98%AD%E5%AF%A7
萧正德,/wiki/%E8%90%A7%E6%AD%A3%E5%BE%B7
萧渊明,/wiki/%E8%90%A7%E6%B8%8A%E6%98%8E
司马伦,/wiki/%E5%8F%B8%E9%A9%AC%E4%BC%A6
元晔,/wiki/%E5%85%83%E6%99%94
李班,/wiki/%E6%9D%8E%E7%8F%AD_(%E6%88%90%E6%B1%89)
石鉴,/wiki/%E7%9F%B3%E9%89%B4
苻崇,/wiki/%E8%8B%BB%E5%B4%87
慕容忠,/wiki/%E6%85%95%E5%AE%B9%E5%BF%A0
耶律淳,/wiki/%E8%80%B6%E5%BE%8B%E6%B7%B3
萧栋,/wiki/%E8%90%A7%E6%A0%8B
萧昭文,/wiki/%E8%90%A7%E6%98%AD%E6%96%87
刘劭,/wiki/%E5%88%98%E5%8A%AD_(%E5%88%98%E5%AE%8B)
刘继恩,/wiki/%E5%88%98%E7%BB%A7%E6%81%A9
刘粲,/wiki/%E5%88%98%E7%B2%B2
耶律术烈,/wiki/%E8%80%B6%E5%BE%8B%E6%9C%AE%E7%83%88
元颢,/wiki/%E5%85%83%E9%A2%A2
元宁宗,/wiki/%E5%85%83%E5%AE%81%E5%AE%97
李缜,/wiki/%E6%9D%8E%F0%A5%99%BF
元钊,/wiki/%E5%85%83%E9%87%97
尔朱荣,/wiki/%E7%88%BE%E6%9C%B1%E6%A6%AE
灵太后,/wiki/%E5%AE%A3%E6%AD%A6%E9%9D%88%E7%9A%87%E5%90%8E
元愉,/wiki/%E5%85%83%E6%84%89
张邦昌,/wiki/%E5%BC%A0%E9%82%A6%E6%98%8C
阿速吉八,/wiki/%E9%98%BF%E9%80%9F%E5%90%89%E5%85%AB
绍武帝,/wiki/%E7%B4%B9%E6%AD%A6%E5%B8%9D
明光宗,/wiki/%E6%98%8E%E5%85%89%E5%AE%97
泰昌,/wiki/%E6%B3%B0%E6%98%8C
赵旉,/wiki/%E8%B5%B5%E6%97%89
西汉,/wiki/%E8%A5%BF%E6%BC%A2
刘贺,/wiki/%E5%88%98%E8%B4%BA
高恒,/wiki/%E9%AB%98%E6%81%86
石世,/wiki/%E7%9F%B3%E4%B8%96
唐殇帝,/wiki/%E5%94%90%E6%AE%87%E5%B8%9D
元法僧,/wiki/%E5%85%83%E6%B3%95%E5%83%A7
高湝,/wiki/%E9%AB%98%E6%B9%9D
